county,totalOut,totalIn,nonmigrants,totalOutToMetro,totalInFromMetro,prePop,postPop,totalOutToOutside,totalInFromOutside,preYear,postYear
fulton county,76847,79537,613842,43853,42601,690689,693379,32994,36936,2010,2011
gwinnett county,45432,49311,626676,18545,21925,672108,675987,26887,27386,2010,2011
henry county,14287,14968,154959,6524,7328,169246,169927,7763,7640,2010,2011
rockdale county,7338,6962,61139,2833,3133,68477,68101,4505,3829,2010,2011
cherokee county,12523,14795,177693,5619,7328,190216,192488,6904,7467,2011,2012
clayton county,34304,33214,193703,22033,19912,228007,226917,12271,13302,2011,2012
cobb county,54966,54947,592004,23878,23369,646970,646951,31088,31578,2011,2012
dekalb county,70731,68475,507966,42254,38552,578697,576441,28477,29923,2011,2012
douglas county,12729,13220,97993,5703,6062,110722,111213,7026,7158,2011,2012
fayette county,8424,9315,90468,3091,3441,98892,99783,5333,5874,2011,2012
forsyth county,10517,15341,154304,4266,7148,164821,169645,6251,8193,2011,2012
fulton county,98827,97688,770882,53360,49642,869709,868570,45467,48046,2011,2012
gwinnett county,55749,60075,668315,22409,25716,724064,728390,33340,34359,2011,2012
henry county,16655,18091,159051,7978,9017,175706,177142,8677,9074,2011,2012
rockdale county,9351,8396,63260,3442,3846,72611,71656,5909,4550,2011,2012
cherokee county,13942,16533,179360,6224,8044,193302,195893,7718,8489,2012,2013
clayton county,31541,30634,191525,19816,17738,223066,222159,11725,12896,2012,2013
cobb county,54931,56753,554577,24086,24347,609508,611330,30845,32406,2012,2013
dekalb county,71938,66475,507842,42318,37136,579780,574317,29620,29339,2012,2013
douglas county,11992,13114,98437,5588,6058,110429,111551,6404,7056,2012,2013
fayette county,8712,9590,90348,3167,3790,99060,99938,5545,5800,2012,2013
forsyth county,10742,17515,159384,4366,9058,170126,176899,6376,8457,2012,2013
fulton county,96657,91432,671165,53317,47150,767822,762597,43340,44282,2012,2013
gwinnett county,54362,62720,676953,22437,26889,731315,739673,31925,35831,2012,2013
henry county,16151,17444,159656,7876,8560,175807,177100,8275,8884,2012,2013
rockdale county,8159,8509,62525,3361,3786,70684,71034,4798,4723,2012,2013
cherokee county,12949,16201,182297,5592,7844,195246,198498,7357,8357,2013,2014
clayton county,27038,26910,189811,17188,16320,216849,216721,9850,10590,2013,2014
cobb county,50323,52367,560835,22112,22040,611158,613202,28211,30327,2013,2014
dekalb county,64938,59710,508570,38460,33069,573508,568280,26478,26641,2013,2014
douglas county,11037,11783,99747,4565,5401,110784,111530,6472,6382,2013,2014
fayette county,7661,9727,90871,2615,3248,98532,100598,5046,6479,2013,2014
forsyth county,11025,16986,165234,4368,9013,176259,182220,6657,7973,2013,2014
fulton county,85489,82473,670271,48565,41312,755760,752744,36924,41161,2013,2014
gwinnett county,53372,59035,686045,21457,25055,739417,745080,31915,33980,2013,2014
henry county,14583,17139,160756,6875,8069,175339,177895,7708,9070,2013,2014
rockdale county,7331,7801,62374,2948,3374,69705,70175,4383,4427,2013,2014
cherokee county,9328,11243,188135,4138,5742,197463,199378,5190,5501,2014,2015
clayton county,21388,23188,194613,13603,13674,216001,217801,7785,9514,2014,2015
cobb county,38907,39596,573752,18062,17567,612659,613348,20845,22029,2014,2015
dekalb county,49031,49018,520173,30170,27596,569204,569191,18861,21422,2014,2015
douglas county,8606,9822,101981,3939,4343,110587,111803,4667,5479,2014,2015
fayette county,6826,6995,92447,2139,2290,99273,99442,4687,4705,2014,2015
forsyth county,7903,11833,173784,3206,6644,181687,185617,4697,5189,2014,2015
fulton county,64893,66836,687765,38862,32633,752658,754601,26031,34203,2014,2015
gwinnett county,44233,44808,704638,17319,19243,748871,749446,26914,25565,2014,2015
henry county,11634,13224,164429,5444,6634,176063,177653,6190,6590,2014,2015
rockdale county,5788,6334,63623,2283,2799,69411,69957,3505,3535,2014,2015
cherokee county,13379,17472,186999,5606,8982,200378,204471,7773,8490,2015,2016
clayton county,23931,26804,193372,15917,15816,217303,220176,8014,10988,2015,2016
cobb county,53630,52800,566533,24302,22096,620163,619333,29328,30704,2015,2016
dekalb county,61977,58656,514366,39032,32543,576343,573022,22945,26113,2015,2016
douglas county,11226,11974,100248,4743,5537,111474,112222,6483,6437,2015,2016
fayette county,7227,9866,90331,2359,3236,97558,100197,4868,6630,2015,2016
forsyth county,11569,19197,175041,4756,10640,186610,194238,6813,8557,2015,2016
fulton county,81458,83422,677427,50122,41486,758885,760849,31336,41936,2015,2016
gwinnett county,55863,58553,700973,21616,25493,756836,759526,34247,33060,2015,2016
henry county,15316,17895,163062,6627,8700,178378,180957,8689,9195,2015,2016
rockdale county,7028,7487,62274,2779,3330,69302,69761,4249,4157,2015,2016
cherokee county,18448,24840,183751,7191,12939,202199,208591,11257,11901,2016,2017
