From,To,Est,SD,Year
clayton county,fayette county,1138,258.381653562502,2012
clayton county,cherokee county,203,90.5855679548536,2012
clayton county,rockdale county,609,216.43263216059,2012
clayton county,outside,9691,771.355158389181,2012
cobb county,clayton county,995,249.870257915737,2012
cobb county,fulton county,7306,576.951033484269,2012
cobb county,dekalb county,3320,438.336875808386,2012
cobb county,gwinnett county,1908,267.501006041179,2012
cobb county,henry county,355,164.148344616178,2012
cobb county,douglas county,2956,443.808487295592,2012
cobb county,forsyth county,448,155.636948969413,2012
cobb county,fayette county,44,31.0057984275002,2012
cobb county,cherokee county,4111,505.820084150592,2012
cobb county,rockdale county,58,34.0455825870591,2012
cobb county,outside,32236,1380.92506405677,2012
fulton county,clayton county,7258,640.786500835005,2012
fulton county,cobb county,9688,784.872269998094,2012
fulton county,dekalb county,16623,1138.09518933883,2012
fulton county,gwinnett county,4632,547.161148720593,2012
fulton county,henry county,926,277.836272183679,2012
fulton county,douglas county,1293,230.415639294561,2012
fulton county,forsyth county,1943,244.398646428531,2012
fulton county,fayette county,1006,212.176934337208,2012
fulton county,cherokee county,1501,272.972617528384,2012
fulton county,rockdale county,178,159.892646792795,2012
fulton county,outside,50587,1499.05475687156,2012
dekalb county,clayton county,2846,480.285897210298,2012
dekalb county,cobb county,4043,542.297494065298,2012
dekalb county,fulton county,13195,832.900859719124,2012
dekalb county,gwinnett county,8793,787.912054157653,2012
dekalb county,henry county,992,220.688329983972,2012
dekalb county,douglas county,641,165.364258280001,2012
dekalb county,forsyth county,666,204.273495522355,2012
dekalb county,fayette county,319,91.8014816186772,2012
dekalb county,cherokee county,222,111.256100239854,2012
dekalb county,rockdale county,1664,339.239912206767,2012
dekalb county,outside,24217,1008.10939171142,2012
gwinnett county,clayton county,688,208.529193345737,2012
gwinnett county,cobb county,1615,296.074977141032,2012
gwinnett county,fulton county,5601,564.183940014122,2012
gwinnett county,dekalb county,6152,561.752112686475,2012
gwinnett county,henry county,955,245.614560092355,2012
gwinnett county,douglas county,298,124.631150541913,2012
gwinnett county,forsyth county,1083,228.591768798825,2012
gwinnett county,fayette county,124,63.8354673507358,2012
gwinnett county,cherokee county,398,204.273495522355,2012
gwinnett county,rockdale county,430,151.989207977942,2012
gwinnett county,outside,33213,1402.35229469183,2012
henry county,clayton county,1947,427.393652833974,2012
henry county,cobb county,857,263.245308217796,2012
henry county,fulton county,1124,313.097768434561,2012
henry county,dekalb county,927,287.563581494267,2012
henry county,gwinnett county,148,69.3070788379417,2012
henry county,douglas county,153,89.9776111229419,2012
henry county,forsyth county,154,110.04018657603,2012
henry county,fayette county,287,117.943625390883,2012
henry county,cherokee county,65,41.9490214019121,2012
henry county,rockdale county,131,79.6423449804418,2012
henry county,outside,7299,667.256373078079,2012
douglas county,clayton county,182,90.5855679548536,2012
douglas county,cobb county,2273,350.791092013091,2012
douglas county,fulton county,841,189.682531556472,2012
douglas county,dekalb county,541,263.245308217796,2012
douglas county,gwinnett county,131,60.7956831911769,2012
douglas county,henry county,362,198.801884035149,2012
douglas county,forsyth county,42,29.7898847636767,2012
douglas county,fayette county,16,16.4148344616178,2012
douglas county,cherokee county,17,16.4148344616178,2012
douglas county,rockdale county,167,106.39244558456,2012
douglas county,outside,7852,689.041226255875,2012
forsyth county,clayton county,0,18.8466617892649,2012
forsyth county,cobb county,350,97.2730931058831,2012
forsyth county,fulton county,1140,231.631552958384,2012
forsyth county,dekalb county,191,68.6991220060299,2012
forsyth county,gwinnett county,974,210.961020673384,2012
forsyth county,henry county,0,18.8466617892649,2012
forsyth county,douglas county,0,18.8466617892649,2012
forsyth county,fayette county,42,29.1819279317649,2012
forsyth county,cherokee county,471,255.949826234855,2012
forsyth county,rockdale county,0,18.8466617892649,2012
forsyth county,outside,5925,637.210399583839,2012
fayette county,clayton county,601,201.841668194707,2012
fayette county,cobb county,538,203.057581858531,2012
fayette county,fulton county,1264,270.540790200737,2012
fayette county,dekalb county,250,108.824272912207,2012
fayette county,gwinnett county,61,52.2842875444122,2012
fayette county,henry county,255,128.278891533383,2012
fayette county,douglas county,49,31.613755259412,2012
fayette county,forsyth county,122,72.9548198294123,2012
fayette county,cherokee county,27,18.8466617892649,2012
fayette county,rockdale county,0,18.8466617892649,2012
fayette county,outside,6935,694.837477730353,2012
cherokee county,clayton county,279,126.455021037648,2012
cherokee county,cobb county,3761,553.24071703971,2012
cherokee county,fulton county,542,108.216316080295,2012
cherokee county,dekalb county,371,184.210920069266,2012
cherokee county,gwinnett county,564,288.77949515809,2012
cherokee county,henry county,0,18.8466617892649,2012
cherokee county,douglas county,47,37.6933235785297,2012
cherokee county,forsyth county,185,93.6253521144125,2012
cherokee county,fayette county,0,18.8466617892649,2012
cherokee county,rockdale county,0,0,2012
cherokee county,outside,7032,599.912012618748,2012
rockdale county,clayton county,96,51.0683738805886,2012
rockdale county,cobb county,235,80.8582586442653,2012
rockdale county,fulton county,224,71.130949333677,2012
rockdale county,dekalb county,916,201.841668194707,2012
rockdale county,gwinnett county,602,188.466617892649,2012
rockdale county,henry county,60,37.0853667466179,2012
rockdale county,douglas county,59,38.9092372423532,2012
rockdale county,forsyth county,4,4.25569782338239,2012
rockdale county,fayette county,111,86.937826963383,2012
rockdale county,cherokee county,0,0,2012
rockdale county,outside,6287,685.073479346584,2012
outside,clayton county,12345,877.044897734431,2012
outside,cobb county,38769,1595.61012629799,2012
outside,fulton county,51939,1598.83238210635,2012
outside,dekalb county,33712,1466.4334670682,2012
outside,gwinnett county,35392,1701.88097962973,2012
outside,henry county,8961,847.257156493087,2012
outside,douglas county,7290,773.917823858606,2012
outside,forsyth county,6498,620.965334359104,2012
outside,fayette county,5120,579.044653893432,2012
outside,cherokee county,7734,726.573022573592,2012
outside,rockdale county,5719,592.077232187274,2012
clayton county,cobb county,1298,276.012401687943,2013
clayton county,fulton county,5760,571.479421997063,2013
clayton county,dekalb county,1876,395.17194074265,2013
clayton county,gwinnett county,369,165.364258280001,2013
clayton county,henry county,2993,606.740918247946,2013
clayton county,douglas county,464,184.818876901178,2013
clayton county,forsyth county,78,40.7331077380886,2013
clayton county,fayette county,865,234.063380286031,2013
clayton county,cherokee county,4,4.25569782338239,2013
clayton county,rockdale county,285,162.932430952354,2013
clayton county,outside,9410,738.602999449125,2013
cobb county,clayton county,974,262.637351385884,2013
cobb county,fulton county,7563,618.900054886181,2013
cobb county,dekalb county,3424,435.297091648827,2013
cobb county,gwinnett county,1738,303.370459123973,2013
cobb county,henry county,587,223.120157311619,2013
cobb county,douglas county,2218,512.507609301622,2013
cobb county,forsyth county,400,141.653941835442,2013
cobb county,fayette county,34,29.7898847636767,2013
cobb county,cherokee county,2993,460.831278589121,2013
cobb county,rockdale county,28,23.710316444559,2013
cobb county,outside,30346,1279.30673362091,2013
fulton county,clayton county,7775,805.542802283095,2013
fulton county,cobb county,10169,653.553594305152,2013
fulton county,dekalb county,15967,953.276312437654,2013
fulton county,gwinnett county,4745,533.786098418534,2013
fulton county,henry county,909,254.12595573912,2013
fulton county,douglas county,1344,266.893049209267,2013
fulton county,forsyth county,2120,300.938631796326,2013
fulton county,fayette county,713,164.148344616178,2013
fulton county,cherokee county,1651,359.302487659856,2013
fulton county,rockdale county,240,134.358459852501,2013
fulton county,outside,50046,1493.14457833702,2013
dekalb county,clayton county,3099,480.285897210298,2013
dekalb county,cobb county,3871,447.456228287062,2013
dekalb county,fulton county,12954,884.577190431624,2013
dekalb county,gwinnett county,9249,1052.37327603927,2013
dekalb county,henry county,633,195.76209987559,2013
dekalb county,douglas county,570,143.477812331178,2013
dekalb county,forsyth county,623,172.659740262943,2013
dekalb county,fayette county,225,71.130949333677,2013
dekalb county,cherokee county,68,29.1819279317649,2013
dekalb county,rockdale county,1687,313.705725266473,2013
dekalb county,outside,24784,1024.9396719543,2013
gwinnett county,clayton county,646,164.148344616178,2013
gwinnett county,cobb county,1749,248.654344251914,2013
gwinnett county,fulton county,5372,623.763709541475,2013
gwinnett county,dekalb county,6396,653.553594305152,2013
gwinnett county,henry county,791,207.313279681913,2013
gwinnett county,douglas county,222,88.1537406272066,2013
gwinnett county,forsyth county,1109,203.057581858531,2013
gwinnett county,fayette county,144,67.4832083422064,2013
gwinnett county,cherokee county,347,185.42683373309,2013
gwinnett county,rockdale county,361,125.847064205736,2013
gwinnett county,outside,32669,1402.99313925959,2013
henry county,clayton county,2293,376.325278953385,2013
henry county,cobb county,890,282.091970007061,2013
henry county,fulton county,1320,376.325278953385,2013
henry county,dekalb county,1021,299.114761300591,2013
henry county,gwinnett county,419,151.989207977942,2013
henry county,douglas county,234,123.415236878089,2013
henry county,forsyth county,181,133.750503020589,2013
henry county,fayette county,312,114.295884399413,2013
henry county,cherokee county,49,42.5569782338239,2013
henry county,rockdale county,157,111.256100239854,2013
henry county,outside,6677,611.181697283556,2013
